model_id,twist_deg,rise_A,model_status,diffraction_status,diffraction_file,score_status,observed_peak_count,expected_peak_count,missing_peak_count,score_completeness,observed_base_d_A,observed_A_d_A,observed_B_d_A,observed_C_d_A,observed_D_d_A,base_rmsd,helical_rmsd,combined_rmsd,notes,rank,angle_deg,candidate_id,source_pdb,xyz_file,xyz_atom_count,diffraction_png,diffraction_json,radial_csv,radial_csv_exists,smoke_grid_size,smoke_grid_limit_mm,smoke_theta_count,smoke_phi_count,smoke_psi_count,smoke_theta_max,smoke_orientation_count,angle_rank_by_helical_rmsd,stage2_grid_size,stage2_grid_limit_mm,stage2_theta_count,stage2_phi_count,stage2_psi_count,stage2_theta_max,stage2_orientation_count,stage2_radial_bins
angle29_cand0,29,3.4,complete,success,outputs/asem_sidechains_20260625/stage2_top5_refined/corrected_diffraction/angle29_cand0.npy,scored,5,5,0,1.000000000,3.363705721,3.927245421,4.544773274,5.818157834,7.326059938,0.016294279,0.128556287,0.115214911,,35,29,cand0,inputs/asem_sidechains_20260625/raw/29/cand0/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle29_cand0.xyz,2310,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle29_cand0.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle29_cand0.json,outputs/asem_sidechains_20260625/stage2_top5_refined/radial_profiles/angle29_cand0_radial.csv,True,33,100,2,4,1,180,8,1,65,100,4,8,1,180,32,120
angle29_cand1,29,3.4,complete,success,outputs/asem_sidechains_20260625/stage2_top5_refined/corrected_diffraction/angle29_cand1.npy,scored,5,5,0,1.000000000,3.363705721,3.927245421,4.544773274,5.818157834,7.326059938,0.016294279,0.128556287,0.115214911,,36,29,cand1,inputs/asem_sidechains_20260625/raw/29/cand1/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle29_cand1.xyz,2310,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle29_cand1.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle29_cand1.json,outputs/asem_sidechains_20260625/stage2_top5_refined/radial_profiles/angle29_cand1_radial.csv,True,33,100,2,4,1,180,8,2,65,100,4,8,1,180,32,120
angle29_cand11,29,3.4,complete,success,outputs/asem_sidechains_20260625/stage2_top5_refined/corrected_diffraction/angle29_cand11.npy,scored,5,5,0,1.000000000,3.363705721,3.927245421,4.544773274,5.534749550,7.326059938,0.016294279,0.113040352,0.101368623,,37,29,cand11,inputs/asem_sidechains_20260625/raw/29/cand11/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle29_cand11.xyz,2310,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle29_cand11.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle29_cand11.json,outputs/asem_sidechains_20260625/stage2_top5_refined/radial_profiles/angle29_cand11_radial.csv,True,33,100,2,4,1,180,8,3,65,100,4,8,1,180,32,120
angle29_cand12,29,3.4,complete,success,outputs/asem_sidechains_20260625/stage2_top5_refined/corrected_diffraction/angle29_cand12.npy,scored,5,5,0,1.000000000,3.363705721,3.927245421,4.544773274,5.534749550,7.326059938,0.016294279,0.113040352,0.101368623,,38,29,cand12,inputs/asem_sidechains_20260625/raw/29/cand12/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle29_cand12.xyz,2310,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle29_cand12.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle29_cand12.json,outputs/asem_sidechains_20260625/stage2_top5_refined/radial_profiles/angle29_cand12_radial.csv,True,33,100,2,4,1,180,8,4,65,100,4,8,1,180,32,120
angle29_cand2,29,3.4,complete,success,outputs/asem_sidechains_20260625/stage2_top5_refined/corrected_diffraction/angle29_cand2.npy,scored,5,5,0,1.000000000,3.363705721,3.927245421,4.544773274,5.818157834,7.326059938,0.016294279,0.128556287,0.115214911,,39,29,cand2,inputs/asem_sidechains_20260625/raw/29/cand2/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle29_cand2.xyz,2310,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle29_cand2.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle29_cand2.json,outputs/asem_sidechains_20260625/stage2_top5_refined/radial_profiles/angle29_cand2_radial.csv,True,33,100,2,4,1,180,8,5,65,100,4,8,1,180,32,120
angle30_cand0,30,3.4,complete,success,outputs/asem_sidechains_20260625/stage2_top5_refined/corrected_diffraction/angle30_cand0.npy,scored,5,5,0,1.000000000,3.363705721,3.927245421,4.544773274,5.818157834,7.326059938,0.016294279,0.128556287,0.115214911,,4,30,cand0,inputs/asem_sidechains_20260625/raw/30/cand0/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle30_cand0.xyz,2310,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle30_cand0.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle30_cand0.json,outputs/asem_sidechains_20260625/stage2_top5_refined/radial_profiles/angle30_cand0_radial.csv,True,33,100,2,4,1,180,8,1,65,100,4,8,1,180,32,120
angle30_cand1,30,3.4,complete,success,outputs/asem_sidechains_20260625/stage2_top5_refined/corrected_diffraction/angle30_cand1.npy,scored,5,5,0,1.000000000,3.363705721,3.927245421,4.544773274,5.818157834,7.326059938,0.016294279,0.128556287,0.115214911,,5,30,cand1,inputs/asem_sidechains_20260625/raw/30/cand1/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle30_cand1.xyz,2310,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle30_cand1.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle30_cand1.json,outputs/asem_sidechains_20260625/stage2_top5_refined/radial_profiles/angle30_cand1_radial.csv,True,33,100,2,4,1,180,8,2,65,100,4,8,1,180,32,120
angle30_cand2,30,3.4,complete,success,outputs/asem_sidechains_20260625/stage2_top5_refined/corrected_diffraction/angle30_cand2.npy,scored,5,5,0,1.000000000,3.363705721,3.927245421,4.544773274,5.818157834,7.326059938,0.016294279,0.128556287,0.115214911,,6,30,cand2,inputs/asem_sidechains_20260625/raw/30/cand2/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle30_cand2.xyz,2310,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle30_cand2.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle30_cand2.json,outputs/asem_sidechains_20260625/stage2_top5_refined/radial_profiles/angle30_cand2_radial.csv,True,33,100,2,4,1,180,8,3,65,100,4,8,1,180,32,120
angle30_cand3,30,3.4,complete,success,outputs/asem_sidechains_20260625/stage2_top5_refined/corrected_diffraction/angle30_cand3.npy,scored,5,5,0,1.000000000,3.363705721,3.927245421,4.544773274,5.818157834,7.326059938,0.016294279,0.128556287,0.115214911,,7,30,cand3,inputs/asem_sidechains_20260625/raw/30/cand3/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle30_cand3.xyz,2310,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle30_cand3.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle30_cand3.json,outputs/asem_sidechains_20260625/stage2_top5_refined/radial_profiles/angle30_cand3_radial.csv,True,33,100,2,4,1,180,8,4,65,100,4,8,1,180,32,120
angle30_cand10,30,3.4,complete,success,outputs/asem_sidechains_20260625/stage2_top5_refined/corrected_diffraction/angle30_cand10.npy,scored,5,5,0,1.000000000,3.363705721,3.738296311,4.544773274,5.534749550,7.326059938,0.016294279,0.098397704,0.088310743,,44,30,cand10,inputs/asem_sidechains_20260625/raw/30/cand10/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle30_cand10.xyz,2310,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle30_cand10.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle30_cand10.json,outputs/asem_sidechains_20260625/stage2_top5_refined/radial_profiles/angle30_cand10_radial.csv,True,33,100,2,4,1,180,8,5,65,100,4,8,1,180,32,120
angle31_cand0,31,3.4,complete,success,outputs/asem_sidechains_20260625/stage2_top5_refined/corrected_diffraction/angle31_cand0.npy,scored,5,5,0,1.000000000,3.363705721,3.738296311,4.544773274,5.818157834,7.326059938,0.016294279,0.115890922,0.103911816,,8,31,cand0,inputs/asem_sidechains_20260625/raw/31/cand0/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle31_cand0.xyz,2310,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle31_cand0.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle31_cand0.json,outputs/asem_sidechains_20260625/stage2_top5_refined/radial_profiles/angle31_cand0_radial.csv,True,33,100,2,4,1,180,8,1,65,100,4,8,1,180,32,120
angle31_cand1,31,3.4,complete,success,outputs/asem_sidechains_20260625/stage2_top5_refined/corrected_diffraction/angle31_cand1.npy,scored,5,5,0,1.000000000,3.363705721,3.738296311,4.544773274,5.818157834,7.326059938,0.016294279,0.115890922,0.103911816,,9,31,cand1,inputs/asem_sidechains_20260625/raw/31/cand1/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle31_cand1.xyz,2310,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle31_cand1.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle31_cand1.json,outputs/asem_sidechains_20260625/stage2_top5_refined/radial_profiles/angle31_cand1_radial.csv,True,33,100,2,4,1,180,8,2,65,100,4,8,1,180,32,120
angle31_cand10,31,3.4,complete,success,outputs/asem_sidechains_20260625/stage2_top5_refined/corrected_diffraction/angle31_cand10.npy,scored,5,5,0,1.000000000,3.363705721,3.738296311,4.544773274,5.534749550,7.326059938,0.016294279,0.098397704,0.088310743,,10,31,cand10,inputs/asem_sidechains_20260625/raw/31/cand10/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle31_cand10.xyz,2310,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle31_cand10.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle31_cand10.json,outputs/asem_sidechains_20260625/stage2_top5_refined/radial_profiles/angle31_cand10_radial.csv,True,33,100,2,4,1,180,8,3,65,100,4,8,1,180,32,120
angle31_cand12,31,3.4,complete,success,outputs/asem_sidechains_20260625/stage2_top5_refined/corrected_diffraction/angle31_cand12.npy,scored,5,5,0,1.000000000,3.363705721,3.738296311,4.544773274,5.534749550,7.326059938,0.016294279,0.098397704,0.088310743,,11,31,cand12,inputs/asem_sidechains_20260625/raw/31/cand12/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle31_cand12.xyz,2310,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle31_cand12.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle31_cand12.json,outputs/asem_sidechains_20260625/stage2_top5_refined/radial_profiles/angle31_cand12_radial.csv,True,33,100,2,4,1,180,8,4,65,100,4,8,1,180,32,120
angle31_cand13,31,3.4,complete,success,outputs/asem_sidechains_20260625/stage2_top5_refined/corrected_diffraction/angle31_cand13.npy,scored,5,5,0,1.000000000,3.363705721,3.738296311,4.544773274,5.534749550,7.326059938,0.016294279,0.098397704,0.088310743,,12,31,cand13,inputs/asem_sidechains_20260625/raw/31/cand13/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle31_cand13.xyz,2310,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle31_cand13.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle31_cand13.json,outputs/asem_sidechains_20260625/stage2_top5_refined/radial_profiles/angle31_cand13_radial.csv,True,33,100,2,4,1,180,8,5,65,100,4,8,1,180,32,120
angle32_cand1,32,3.4,complete,success,outputs/asem_sidechains_20260625/stage2_top5_refined/corrected_diffraction/angle32_cand1.npy,scored,5,5,0,1.000000000,3.363705721,3.738296311,4.544773274,5.534749550,7.326059938,0.016294279,0.098397704,0.088310743,,21,32,cand1,inputs/asem_sidechains_20260625/raw/32/cand1/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle32_cand1.xyz,2310,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle32_cand1.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle32_cand1.json,outputs/asem_sidechains_20260625/stage2_top5_refined/radial_profiles/angle32_cand1_radial.csv,True,33,100,2,4,1,180,8,1,65,100,4,8,1,180,32,120
angle32_cand2,32,3.4,complete,success,outputs/asem_sidechains_20260625/stage2_top5_refined/corrected_diffraction/angle32_cand2.npy,scored,5,5,0,1.000000000,3.363705721,3.738296311,4.290872040,5.534749550,7.326059938,0.016294279,0.086136583,0.077386752,,22,32,cand2,inputs/asem_sidechains_20260625/raw/32/cand2/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle32_cand2.xyz,2310,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle32_cand2.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle32_cand2.json,outputs/asem_sidechains_20260625/stage2_top5_refined/radial_profiles/angle32_cand2_radial.csv,True,33,100,2,4,1,180,8,2,65,100,4,8,1,180,32,120
angle32_cand3,32,3.4,complete,success,outputs/asem_sidechains_20260625/stage2_top5_refined/corrected_diffraction/angle32_cand3.npy,scored,5,5,0,1.000000000,3.363705721,3.738296311,4.544773274,5.534749550,7.326059938,0.016294279,0.098397704,0.088310743,,23,32,cand3,inputs/asem_sidechains_20260625/raw/32/cand3/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle32_cand3.xyz,2310,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle32_cand3.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle32_cand3.json,outputs/asem_sidechains_20260625/stage2_top5_refined/radial_profiles/angle32_cand3_radial.csv,True,33,100,2,4,1,180,8,3,65,100,4,8,1,180,32,120
angle32_cand0,32,3.4,complete,success,outputs/asem_sidechains_20260625/stage2_top5_refined/corrected_diffraction/angle32_cand0.npy,scored,5,5,0,1.000000000,3.363705721,3.738296311,4.544773274,5.534749550,7.326059938,0.016294279,0.098397704,0.088310743,,30,32,cand0,inputs/asem_sidechains_20260625/raw/32/cand0/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle32_cand0.xyz,2310,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle32_cand0.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle32_cand0.json,outputs/asem_sidechains_20260625/stage2_top5_refined/radial_profiles/angle32_cand0_radial.csv,True,33,100,2,4,1,180,8,4,65,100,4,8,1,180,32,120
angle32_cand4,32,3.4,complete,success,outputs/asem_sidechains_20260625/stage2_top5_refined/corrected_diffraction/angle32_cand4.npy,scored,5,5,0,1.000000000,3.363705721,3.738296311,4.290872040,5.534749550,7.326059938,0.016294279,0.086136583,0.077386752,,73,32,cand4,inputs/asem_sidechains_20260625/raw/32/cand4/initial.pdb,outputs/asem_sidechains_20260625/stage1_screen_27_32/xyz/angle32_cand4.xyz,2310,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle32_cand4.png,outputs/asem_sidechains_20260625/stage1_screen_27_32/corrected_diffraction/angle32_cand4.json,outputs/asem_sidechains_20260625/stage2_top5_refined/radial_profiles/angle32_cand4_radial.csv,True,33,100,2,4,1,180,8,5,65,100,4,8,1,180,32,120
